Year,Quarter,Area,Field,Initial Value,First Revised Value,Second Revised Value,Third Revised Value,Fourth Revised Value,Final Value
2017,1,United States,Quarterly Establishments,9864197,9818898,9739395,9727591,9718391,9718391
2017,1,United States,January Employment,140803178,140784533,140757063,140760789,140743089,140743089
2017,1,United States,February Employment,141534347,141527436,141505486,141511022,141509780,141509780
2017,1,United States,March Employment,142309185,142328256,142302986,142310827,142293796,142293796
2017,1,United States,Total Quarterly Wages,2044748205052,2044758442298,2044336634122,2044365522525,2044527749562,2044527749562
2017,1,Alabama,Quarterly Establishments,123737,122890,122888,122888,122888,122888
2017,1,Alabama,January Employment,1904237,1902768,1902835,1902835,1902835,1902835
2017,1,Alabama,February Employment,1918111,1916485,1916520,1916520,1916520,1916520
2017,1,Alabama,March Employment,1928878,1928042,1928087,1928087,1928087,1928087
2017,1,Alabama,Total Quarterly Wages,22266480124,22243596324,22243408796,22243408796,22243408796,22243408796
2017,1,Alaska,Quarterly Establishments,22125,21897,21740,21661,21572,21572
2017,1,Alaska,January Employment,305399,305342,305079,305095,305122,305122
2017,1,Alaska,February Employment,311782,311600,311646,311582,311622,311622
2017,1,Alaska,March Employment,312766,312531,312797,312702,312750,312750
2017,1,Alaska,Total Quarterly Wages,4276512076,4226164853,4227147551,4227141905,4227762043,4227762043
2017,1,Arizona,Quarterly Establishments,156776,156398,154860,154342,154331,154331
2017,1,Arizona,January Employment,2712051,2713216,2712921,2713319,2713186,2713186
2017,1,Arizona,February Employment,2734280,2735680,2735221,2735656,2735573,2735573
2017,1,Arizona,March Employment,2743006,2745358,2744625,2745068,2745398,2745398
2017,1,Arizona,Total Quarterly Wages,35164813446,35165097611,35163147735,35163640408,35163052416,35163052416
2017,1,Arkansas,Quarterly Establishments,89613,88741,88742,88744,88744,88744
2017,1,Arkansas,January Employment,1182266,1181356,1181356,1181648,1181648,1181648
2017,1,Arkansas,February Employment,1192973,1192337,1192337,1192615,1192615,1192615
2017,1,Arkansas,March Employment,1199935,1199716,1199716,1200033,1200033,1200033
2017,1,Arkansas,Total Quarterly Wages,13301632131,13285776589,13285776589,13288115308,13288115308,13288115308
2017,1,California,Quarterly Establishments,1512484,1503073,1495461,1493271,1491883,1491883
2017,1,California,January Employment,16631435,16614615,16602063,16599785,16581533,16581533
2017,1,California,February Employment,16744624,16730498,16723214,16721075,16717004,16717004
2017,1,California,March Employment,16831355,16822534,16813082,16811553,16794032,16794032
2017,1,California,Total Quarterly Wages,281740923444,281458058264,281254655428,281200629464,281071318474,281071318474
2017,1,Colorado,Quarterly Establishments,196142,196218,196204,196204,196206,196206
2017,1,Colorado,January Employment,2544179,2544791,2545051,2545005,2545088,2545088
2017,1,Colorado,February Employment,2557354,2558090,2558396,2558356,2558428,2558428
2017,1,Colorado,March Employment,2573186,2574109,2574476,2574439,2574515,2574515
2017,1,Colorado,Total Quarterly Wages,37789973361,37804783953,37808394413,37808285029,37808433582,37808433582
2017,1,Connecticut,Quarterly Establishments,117957,117375,117416,117417,117417,117417
2017,1,Connecticut,January Employment,1647300,1646882,1646602,1646580,1646580,1646580
2017,1,Connecticut,February Employment,1643200,1643181,1642832,1642801,1642801,1642801
2017,1,Connecticut,March Employment,1651523,1651123,1650721,1650679,1650728,1650728
2017,1,Connecticut,Total Quarterly Wages,30335064144,30278649681,30274278982,30273653454,30249269755,30249269755
2017,1,Delaware,Quarterly Establishments,31552,32076,32063,31847,31816,31816
2017,1,Delaware,January Employment,431700,432779,432082,432025,432159,432159
2017,1,Delaware,February Employment,431768,432861,432139,432079,432215,432215
2017,1,Delaware,March Employment,433214,434577,433866,433611,433751,433751
2017,1,Delaware,Total Quarterly Wages,6657252577,6675670354,6667070989,6664007536,6669913505,6669913505
2017,1,District of Columbia,Quarterly Establishments,39522,39371,39354,39214,39154,39154
2017,1,District of Columbia,January Employment,750608,751764,751358,751019,750581,750581
2017,1,District of Columbia,February Employment,755095,756412,756027,755698,755270,755270
2017,1,District of Columbia,March Employment,760660,761878,761614,761267,760811,760811
2017,1,District of Columbia,Total Quarterly Wages,18513410443,18545028656,18507484865,18492877750,18488412357,18488412357
2017,1,Florida,Quarterly Establishments,679418,672655,666887,666885,666880,666880
2017,1,Florida,January Employment,8434799,8435985,8434659,8434303,8433797,8433797
