benchmark_year,period_label,reference_month,frequency,realized_text,forecast_text,difference_text,source_file,source_locator
2009,Apr-08,2008-04-01,monthly,46,174,‐128,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,May-08,2008-05-01,monthly,184,177,7,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Jun-08,2008-06-01,monthly,108,164,‐56,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Jul-08,2008-07-01,monthly,‐28,24,‐52,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Aug-08,2008-08-01,monthly,109,93,16,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Sep-08,2008-09-01,monthly,5,19,‐14,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Oct-08,2008-10-01,monthly,25,95,‐70,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Nov-08,2008-11-01,monthly,‐48,17,‐65,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Dec-08,2008-12-01,monthly,‐9,59,‐68,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Jan-09,2009-01-01,monthly,‐570,‐355,‐215,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Feb-09,2009-02-01,monthly,59,131,‐72,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Mar-09,2009-03-01,monthly,52,114,‐62,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2009,Total,,annual,‐68,711,‐779,bls/benchmark/ces-benchmark-revision-2009.pdf,"Differences between forecasted and actual net birth/death, PDF page 9"
2010,Apr-09,2009-04-01,monthly,-3,124,-127,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,May-09,2009-05-01,monthly,172,185,-13,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Jun-09,2009-06-01,monthly,127,134,-7,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Jul-09,2009-07-01,monthly,-70,-12,-58,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Aug-09,2009-08-01,monthly,81,97,-16,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Sep-09,2009-09-01,monthly,-53,0,-53,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Oct-09,2009-10-01,monthly,96,50,46,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Nov-09,2009-11-01,monthly,-35,-23,-12,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Dec-09,2009-12-01,monthly,0,23,-23,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Jan-10,2010-01-01,monthly,-469,-428,-41,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Feb-10,2010-02-01,monthly,89,97,-8,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Mar-10,2010-03-01,monthly,110,83,27,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2010,Total,,annual,46,331,-285,bls/benchmark/ces-benchmark-revision-2010.pdf,"Exhibit 7, PDF page 21"
2011,Apr-10,2010-04-01,monthly,106,141,-35,bls/benchmark/ces-benchmark-revision-2011.pdf,"Exhibit 6, PDF page 21"
