publication_id,publication_kind,benchmark_year,qcew_year,qcew_quarter,release_order,publication_date,release_time_et,source_file,source_locator,source_url
benchmark_preliminary_2000,benchmark_preliminary,2000,,,,2000-11-03,10:00:00,bls/preliminary/jec-2000.txt,release date or header,https://www.bls.gov/news.release/history/jec_11032000.txt
benchmark_preliminary_2001,benchmark_preliminary,2001,,,,2001-10-05,10:00:00,bls/preliminary/jec-2001.txt,release date or header,https://www.bls.gov/news.release/history/jec_10052001.txt
benchmark_preliminary_2002,benchmark_preliminary,2002,,,,2002-10-04,10:00:00,bls/preliminary/empsit-2002.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10042002.pdf
benchmark_preliminary_2003,benchmark_preliminary,2003,,,,2003-10-03,10:00:00,bls/preliminary/empsit-2003.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10032003.pdf
benchmark_preliminary_2004,benchmark_preliminary,2004,,,,2004-10-08,10:00:00,bls/preliminary/empsit-2004.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10082004.pdf
benchmark_preliminary_2005,benchmark_preliminary,2005,,,,2005-10-07,10:00:00,bls/preliminary/empsit-2005.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10072005.pdf
benchmark_preliminary_2006,benchmark_preliminary,2006,,,,2006-10-06,10:00:00,bls/preliminary/empsit-2006.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10062006.pdf
benchmark_preliminary_2007,benchmark_preliminary,2007,,,,2007-10-05,10:00:00,bls/preliminary/empsit-2007.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10052007.pdf
benchmark_preliminary_2008,benchmark_preliminary,2008,,,,2008-10-03,10:00:00,bls/preliminary/empsit-2008.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10032008.pdf
benchmark_preliminary_2009,benchmark_preliminary,2009,,,,2009-10-02,10:00:00,bls/preliminary/empsit-2009.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10022009.pdf
benchmark_preliminary_2010,benchmark_preliminary,2010,,,,2010-10-08,10:00:00,bls/preliminary/empsit-2010.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10082010.pdf
benchmark_preliminary_2011,benchmark_preliminary,2011,,,,2011-10-07,10:00:00,bls/preliminary/empsit-2011.pdf,release date or header,https://www.bls.gov/news.release/archives/empsit_10072011.pdf
