qcew_year,qcew_quarter,news_release_date,news_release_time_et,full_data_release_date,full_data_release_time_et,source_file,source_locator,source_url
2017,1,2017-09-06,10:00:00,2017-09-06,10:00:00,bls/qcew-release-calendar.htm,2017 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2017,2,2017-12-05,10:00:00,2017-12-05,10:00:00,bls/qcew-release-calendar.htm,2017 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2017,3,2018-03-08,10:00:00,2018-03-08,10:00:00,bls/qcew-release-calendar.htm,2017 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2017,4,2018-05-23,10:00:00,2018-06-07,10:00:00,bls/qcew-release-calendar.htm,2017 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2018,1,2018-08-22,10:00:00,2018-09-05,10:00:00,bls/qcew-release-calendar.htm,2018 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2018,2,2018-11-21,10:00:00,2018-12-10,10:00:00,bls/qcew-release-calendar.htm,2018 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2018,3,2019-02-20,10:00:00,2019-03-06,10:00:00,bls/qcew-release-calendar.htm,2018 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2018,4,2019-05-22,10:00:00,2019-06-05,10:00:00,bls/qcew-release-calendar.htm,2018 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2019,1,2019-08-21,10:00:00,2019-09-04,10:00:00,bls/qcew-release-calendar.htm,2019 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2019,2,2019-11-20,10:00:00,2019-12-04,10:00:00,bls/qcew-release-calendar.htm,2019 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2019,3,2020-02-20,10:00:00,2020-03-04,10:00:00,bls/qcew-release-calendar.htm,2019 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2019,4,2020-05-20,10:00:00,2020-06-03,10:00:00,bls/qcew-release-calendar.htm,2019 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2020,1,2020-08-19,10:00:00,2020-09-02,10:00:00,bls/qcew-release-calendar.htm,2020 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2020,2,2020-11-18,10:00:00,2020-12-02,10:00:00,bls/qcew-release-calendar.htm,2020 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2020,3,2021-02-24,10:00:00,2021-03-09,10:00:00,bls/qcew-release-calendar.htm,2020 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2020,4,2021-05-19,10:00:00,2021-06-02,10:00:00,bls/qcew-release-calendar.htm,2020 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2021,1,2021-08-18,10:00:00,2021-09-01,10:00:00,bls/qcew-release-calendar.htm,2021 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2021,2,2021-11-23,10:00:00,2021-12-01,10:00:00,bls/qcew-release-calendar.htm,2021 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2021,3,2022-02-23,10:00:00,2022-03-09,10:00:00,bls/qcew-release-calendar.htm,2021 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2021,4,2022-05-25,10:00:00,2022-06-08,10:00:00,bls/qcew-release-calendar.htm,2021 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2022,1,2022-08-24,10:00:00,2022-09-07,10:00:00,bls/qcew-release-calendar.htm,2022 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2022,2,2022-11-22,10:00:00,2022-12-06,10:00:00,bls/qcew-release-calendar.htm,2022 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2022,3,2023-02-22,10:00:00,2023-03-08,10:00:00,bls/qcew-release-calendar.htm,2022 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2022,4,2023-05-24,10:00:00,2023-06-07,10:00:00,bls/qcew-release-calendar.htm,2022 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2023,1,2023-08-23,10:00:00,2023-09-06,10:00:00,bls/qcew-release-calendar.htm,2023 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2023,2,2023-11-21,10:00:00,2023-12-07,10:00:00,bls/qcew-release-calendar.htm,2023 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2023,3,2024-02-21,10:00:00,2024-03-06,10:00:00,bls/qcew-release-calendar.htm,2023 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2023,4,2024-05-22,10:00:00,2024-06-05,10:00:00,bls/qcew-release-calendar.htm,2023 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2024,1,2024-08-21,10:00:00,2024-09-04,10:00:00,bls/qcew-release-calendar.htm,2024 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2024,2,2024-11-20,10:00:00,2024-12-05,10:00:00,bls/qcew-release-calendar.htm,2024 Q2 row,https://www.bls.gov/cew/release-calendar.htm
2024,3,2025-02-19,10:00:00,2025-03-05,10:00:00,bls/qcew-release-calendar.htm,2024 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2024,4,2025-06-04,10:00:00,2025-06-04,10:00:00,bls/qcew-release-calendar.htm,2024 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2025,1,2025-09-09,10:00:00,2025-09-09,10:00:00,bls/qcew-release-calendar.htm,2025 Q1 row,https://www.bls.gov/cew/release-calendar.htm
2025,2,2025-12-19,10:00:00,2025-12-19,10:00:00,bls/qcew-release-calendar.htm,2025 Q2 row revised after the lapse in appropriations,https://www.bls.gov/cew/release-calendar.htm
2025,3,2026-03-10,10:00:00,2026-03-10,10:00:00,bls/qcew-release-calendar.htm,2025 Q3 row,https://www.bls.gov/cew/release-calendar.htm
2025,4,2026-06-02,10:00:00,2026-06-02,10:00:00,bls/qcew-release-calendar.htm,2025 Q4 row,https://www.bls.gov/cew/release-calendar.htm
2026,1,2026-08-28,10:00:00,2026-08-28,10:00:00,bls/qcew-release-calendar.htm,2026 Q1 row,https://www.bls.gov/cew/release-calendar.htm
