event_id,benchmark_year,event_type,sectors,series_codes,reference_start,reference_end,effect_thousands_text,footnote,description,source_file,source_locator
2002-remove-animal-support,2002,scope_change,00;10,11-115200,,,,3,Support activities for animal production (NAICS 1152) was removed from CES scope.,bls/benchmark/ces-benchmark-revision-2002.pdf,"Changes in CES scope, PDF page 4; Table 5 footnote 3"
2002-federal-benchmark-source,2002,source_change,00;90,90-910000,2003-05-01,,,3,Federal government employment moved from OPM end-of-month counts that excluded some workers to QCEW-derived benchmark levels.,bls/benchmark/ces-benchmark-revision-2002.pdf,"Changes to Federal Government series, PDF page 5; Table 5 footnote 3"
2010-census-temporary-workers,2010,processing_correction,00;90,91-999900,2009-04-01,2010-04-01,4,4,Other federal government history was corrected for initial counts of temporary and intermittent 2010 Census workers; about 4 thousand was added.,bls/benchmark/ces-benchmark-revision-2010.pdf,"Corrected historical CES data for the other federal government series, PDF page 10; Table 5 footnote 4"
2011-noncovered-expansion,2011,scope_change,00,,2011-03-01,,95,5,Thirteen industries with previously omitted noncovered employment were added to the benchmark nonfarm level.,bls/benchmark/ces-benchmark-revision-2011.pdf,"Changes to noncovered employment, PDF page 29; Table 5 footnote 5"
2013-qcew-financial-recoding,2013,classification_reconstruction,55,55-525000,,,,6,QCEW industry-assignment updates made substantial nonrandom noneconomic changes to funds trusts and other financial vehicles (NAICS 525) and corresponding CES series.,bls/benchmark/ces-benchmark-revision-2013.pdf,"Historical reconstructions for funds trusts and other financial vehicles, PDF pages 2–3; Table 5 footnote 6"
2013-private-households-recoding,2013,classification_reconstruction,00;65,814;65-624120,,,466,6,Approximately 466 thousand in employment moved from out-of-scope private households (NAICS 814) to in-scope services for the elderly and persons with disabilities (NAICS 62412).,bls/benchmark/ces-benchmark-revision-2013.pdf,"Impact of employment moving from private households into CES scope, PDF page 4; Table 5 footnote 6"
2015-elderly-services-california,2015,classification_reconstruction,00;65,65-624120,2000-01-01,2015-03-01,-27,7,Services for the elderly and persons with disabilities was rebuilt using better California information; the reconstructed total was 27 thousand below the originally published March 2015 level.,bls/benchmark/ces-benchmark-revision-2015.pdf,"Services for the elderly and persons with disabilities January 2000–March 2015, PDF page 21; Table 5 footnote 7"
2017-security-microdata-error,2017,processing_correction,00;60,60-561613,2016-10-01,2017-12-01,3,8,Security guards and patrols and armored car services was rebuilt to October 2016 to correct a microdata error; total nonfarm was 3 thousand higher.,bls/benchmark/ces-benchmark-revision-2017.pdf,"Security guards and patrols and armored car services October 2016–December 2017, PDF page 33; Table 5 footnote 8"
2018-state-ownership-change,2018,classification_reconstruction,65;90,65-624120;90-922999,2018-01-01,2018-03-01,17,,A state employer was reclassified to private ownership; about 17 thousand moved from other state government to services for the elderly and persons with disabilities and the affected series were rebuilt for January through March 2018.,bls/benchmark/ces-benchmark-revision-2018.pdf,"Ownership change in state government, PDF page 19"
2018-wholesale-recoding,2018,classification_reconstruction,40;60,41-425120,1990-01-01,2018-03-01,336,,"About 336 thousand moved out of wholesale trade agents and brokers into wholesale trade, retail trade, transportation and warehousing, and professional and business services; affected basic series were rebuilt generally to January 1990.",bls/benchmark/ces-benchmark-revision-2018.pdf,"Wholesale trade recoding, PDF pages 15–19"
2019-rail-double-count,2019,processing_correction,00;40,43-482000,1990-01-01,2019-03-01,-16,9,Rail transportation was rebuilt to January 1990 to remove employment double counted between Railroad Retirement Board and state reports; 16 thousand was removed from total nonfarm.,bls/benchmark/ces-benchmark-revision-2019.pdf,"Rail transportation processing error, PDF page 17; Table 5 footnote 9"
2022-shopping-to-management,2022,classification_reconstruction,40;60,42-454100;60-551114,1990-01-01,2022-03-01,68,10,About 68 thousand moved from electronic shopping and mail-order houses to corporate subsidiary and regional managing offices; affected series were rebuilt to January 1990.,bls/benchmark/ces-benchmark-revision-2022.pdf,"Retail trade recoding, PDF page 20; Table 5 footnote 10"
2022-elderly-services-imputation,2022,benchmark_level_adjustment,00;65,65-624120,2022-03-01,2022-03-01,83,10,The March 2022 services-for-the-elderly benchmark level was imputed after erroneous QCEW microdata; it was approximately 83 thousand above the reported QCEW level.,bls/benchmark/ces-benchmark-revision-2022.pdf,"Benchmark level adjustments to services for the elderly and persons with disabilities, PDF page 5; Table 5 footnote 10"
2024-computer-to-management,2024,classification_reconstruction,30;60,31-334100;60-551114,2005-01-01,2024-03-01,50,11,About 50 thousand moved from computer and peripheral equipment manufacturing to corporate subsidiary and regional managing offices; affected history was rebuilt to January 2005.,bls/benchmark/ces-benchmark-revision-2024.pdf,"Reconstructions, PDF page 19; Table 5 footnote 11"
2025-taxi-exclusion,2025,benchmark_level_adjustment,00;40,43-485300,2025-03-01,2025-03-01,83.2,12,Approximately 83.2 thousand in taxi and limousine services QCEW employment was excluded from the benchmark revision amount pending further research.,bls/benchmark/ces-benchmark-revision-2025.pdf,"Benchmark level adjustments to taxi and limousine services, PDF page 4; Table 5 footnote 12"
2025-central-bank-commercial-bank,2025,classification_reconstruction,55,55-521000;55-522110,1990-01-01,2025-03-01,,12,Employment moved from monetary authorities-central bank to commercial banking; industries were ratio-adjusted to 1990 and re-estimated from revised March 2024 levels.,bls/benchmark/ces-benchmark-revision-2025.pdf,"Monetary authorities-central banks and commercial banking, PDF page 20; Table 5 footnote 12"
