benchmark_year,coverage_status,coverage_file,coverage_caption_regex,rse_status,rse_measure,rse_closing,rse_unit,rse_file,rse_caption_regex,rse_column_index,published_series_note,published_series_source_files,published_series_source_locators,evidence_observed_at
2002,published,internet-archive/coverage/coverage-2002.htm,^Table 2-C[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2002.htm,^Table 2-E[.],1,,,,
2003,published,internet-archive/coverage/coverage-2003.htm,^Table 2-C[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2003.htm,^Table 2-E[.],1,,,,
2004,published,internet-archive/coverage/coverage-2004.htm,^Table 2-C[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2004.htm,^Table 2-E[.],1,,,,
2005,published,internet-archive/coverage/coverage-2005.htm,^Table 2-C[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2005.htm,^Table 2-E[.],1,,,,
2006,published,internet-archive/coverage/coverage-2006.htm,^Table 2-C[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2006.htm,^Table 2-E[.],1,,,,
2007,published,internet-archive/coverage/coverage-2007.htm,^Table 2-Ca[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2007.htm,^Table 2-E[.],1,,,,
2008,published,internet-archive/coverage/coverage-2008.htm,^Table 2-Ca[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2008.htm,^Table 2-E[.],1,,,,
2009,published,internet-archive/coverage/coverage-2009.htm,^Table 2-Ca[.],published,level,first_closing,percent,internet-archive/rse-level/rse-level-2009.htm,^Table 2-Ea1[.],1,,,,
2010,published,internet-archive/coverage/coverage-2010.htm,^Table 2-Ca[.],not_published,,,,,,,,,,
2011,published,internet-archive/coverage/coverage-2011.htm,^Table 2-Ca[.],not_published,,,,,,,,,,
2012,archive_gap,,,not_published,,,,,,,,,,2026-09-13T16:00:00Z
2013,published,internet-archive/coverage/coverage-2013.htm,^Table 1[.],not_published,,,,,,,,,,
2014,published,internet-archive/coverage/coverage-2014.htm,^Table 1[.],not_published,,,,,,,,,,
2015,published,internet-archive/coverage/coverage-2015.htm,^Table 1[.],not_published,,,,,,,,,,
2016,published,internet-archive/coverage/coverage-2016.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2016.htm,^Table 5[.] Standard and relative,3,,,,
2017,published,internet-archive/coverage/coverage-2017.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2017.htm,^Table 5[.] Standard and relative,3,,,,
2018,published,internet-archive/coverage/coverage-2018.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2018.htm,^Table 5[.] Standard and relative,3,,,,
2019,published,internet-archive/coverage/coverage-2019.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2019.htm,^Table 5[.] Standard and relative,3,,,,
2020,published,internet-archive/coverage/coverage-2020.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2020.htm,^Table 5[.] Standard and relative,3,,,,
2021,published,internet-archive/coverage/coverage-2021.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2021.htm,^Table 5[.] Standard and relative,3,,,,
2022,published,internet-archive/coverage/coverage-2022.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2022.htm,^Table 5[.] Standard and relative,3,,,,
2023,published,internet-archive/coverage/coverage-2023.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2023.htm,^Table 4[.] Standard and relative,3,,,,
2024,published,internet-archive/coverage/coverage-2024.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2024.htm,^Table 4[.] Standard and relative,3,,,,
2025,published,bls/cestn.htm,^Table 1[.],published,one_month_change,not_stated,percent,internet-archive/rse-change/rse-change-2025.htm,^Table 4[.] Standard and relative,3,"FY2022's 24,511 counts national series maintained, published and unpublished; FY2025's 22,049 counts national series published, so the apparent fall is not definition-comparable; the March 2025 benchmark article reports no series-structure change for sample coverage or disclosure review.",dol/cbj-2024-v3-01.pdf;dol/cbj-2027-v3-01.pdf;bls/benchmark/ces-benchmark-revision-2025.pdf,BLS-36–38;BLS-29–31;Changes to the CES published series,
