source_id,role,benchmark_year,status,url,file,capture_timestamp,original_url,source_locator
cestn-current,technical_notes,2025,available,https://www.bls.gov/web/empsit/cestn.htm,bls/cestn.htm,,,Tables 1 4 and 5
cesbd-history,birth_death_history,,available,https://www.bls.gov/web/empsit/cesbdhst.htm,bls/cesbd-history.htm,,,historical annual tables
cesbd-current,birth_death_current,2025,available,https://www.bls.gov/web/empsit/cesbd.htm,bls/cesbd-current.htm,,,current annual table
cesbd-faq,birth_death_scope,,available,https://www.bls.gov/web/empsit/cesbdqa.htm,bls/cesbd-faq.htm,,,private-industry scope
qcew-revisions,qcew_revisions,,available,https://www.bls.gov/cew/revisions/qcew-revisions.csv,bls/qcew-revisions.csv,,,national employment revision rows
qcew-release-archive,publication_evidence,,available,https://www.bls.gov/bls/news-release/cewqtr.htm,bls/qcew-release-archive.htm,,,2017 through 2026 quarterly release links
benchmark-article-2002,benchmark_article,2002,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2002.pdf,bls/benchmark/ces-benchmark-revision-2002.pdf,,,benchmark article tables
benchmark-article-2003,benchmark_article,2003,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2003.pdf,bls/benchmark/ces-benchmark-revision-2003.pdf,,,benchmark article tables
benchmark-article-2004,benchmark_article,2004,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2004.pdf,bls/benchmark/ces-benchmark-revision-2004.pdf,,,benchmark article tables
benchmark-article-2005,benchmark_article,2005,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2005.pdf,bls/benchmark/ces-benchmark-revision-2005.pdf,,,benchmark article tables
benchmark-article-2006,benchmark_article,2006,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2006.pdf,bls/benchmark/ces-benchmark-revision-2006.pdf,,,benchmark article tables
benchmark-article-2007,benchmark_article,2007,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2007.pdf,bls/benchmark/ces-benchmark-revision-2007.pdf,,,benchmark article tables
benchmark-article-2008,benchmark_article,2008,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2008.pdf,bls/benchmark/ces-benchmark-revision-2008.pdf,,,benchmark article tables
benchmark-article-2009,benchmark_article,2009,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2009.pdf,bls/benchmark/ces-benchmark-revision-2009.pdf,,,benchmark article tables
benchmark-article-2010,benchmark_article,2010,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2010.pdf,bls/benchmark/ces-benchmark-revision-2010.pdf,,,benchmark article tables
benchmark-article-2011,benchmark_article,2011,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2011.pdf,bls/benchmark/ces-benchmark-revision-2011.pdf,,,benchmark article tables
benchmark-article-2012,benchmark_article,2012,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2012.pdf,bls/benchmark/ces-benchmark-revision-2012.pdf,,,benchmark article tables
benchmark-article-2013,benchmark_article,2013,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2013.pdf,bls/benchmark/ces-benchmark-revision-2013.pdf,,,benchmark article tables
benchmark-article-2014,benchmark_article,2014,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2014.pdf,bls/benchmark/ces-benchmark-revision-2014.pdf,,,benchmark article tables
benchmark-article-2015,benchmark_article,2015,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2015.pdf,bls/benchmark/ces-benchmark-revision-2015.pdf,,,benchmark article tables
benchmark-article-2016,benchmark_article,2016,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2016.pdf,bls/benchmark/ces-benchmark-revision-2016.pdf,,,benchmark article tables
benchmark-article-2017,benchmark_article,2017,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2017.pdf,bls/benchmark/ces-benchmark-revision-2017.pdf,,,benchmark article tables
benchmark-article-2018,benchmark_article,2018,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2018.pdf,bls/benchmark/ces-benchmark-revision-2018.pdf,,,benchmark article tables
benchmark-article-2019,benchmark_article,2019,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2019.pdf,bls/benchmark/ces-benchmark-revision-2019.pdf,,,benchmark article tables
benchmark-article-2020,benchmark_article,2020,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2020.pdf,bls/benchmark/ces-benchmark-revision-2020.pdf,,,benchmark article tables
benchmark-article-2021,benchmark_article,2021,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2021.pdf,bls/benchmark/ces-benchmark-revision-2021.pdf,,,benchmark article tables
benchmark-article-2022,benchmark_article,2022,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2022.pdf,bls/benchmark/ces-benchmark-revision-2022.pdf,,,benchmark article tables
benchmark-article-2023,benchmark_article,2023,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2023.pdf,bls/benchmark/ces-benchmark-revision-2023.pdf,,,benchmark article tables
benchmark-article-2024,benchmark_article,2024,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2024.pdf,bls/benchmark/ces-benchmark-revision-2024.pdf,,,benchmark article tables
benchmark-article-2025,benchmark_article,2025,available,https://www.bls.gov/ces/publications/benchmark/ces-benchmark-revision-2025.pdf,bls/benchmark/ces-benchmark-revision-2025.pdf,,,benchmark article tables
coverage-2002,coverage,2002,available,https://web.archive.org/web/20030620192417id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2002.htm,20030620192417,http://www.bls.gov:80/web/cestntab.htm,Table 1
coverage-2003,coverage,2003,available,https://web.archive.org/web/20041010205205id_/http://www.bls.gov:80/web/cestntab.htm,internet-archive/coverage/coverage-2003.htm,20041010205205,http://www.bls.gov:80/web/cestntab.htm,Table 1
