sheet_row,publication_label,adjustment
11,June 2003,"With the release of May 2003 data on June 6, 2003, the CES national nonfarm payroll series changed from SIC 1987 to NAICS 2002. Further information about the NAICS 2002 conversion is available at www.bls.gov/ces/naics/naics-2002.htm."
12,January 2008,"With the release of January 2008 data on February 1, 2008, the CES national nonfarm payroll series updated to NAICS 2007 from NAICS 2002. Further information about the NAICS 2007 conversion is available at www.bls.gov/ces/naics/naics-2007.htm."
13,January 2011,"With the 2010 benchmark, BLS reconstructed historical national levels of all employees for other federal government (91-999900) to reflect corrections to initial counts for temporary and intermittent workers for the 2010 Census. The reconstructions resulted in about 4,000 in employment being added to other federal government. For more information, see the Reconstructions section in the 2010 CES Benchmark Article."
14,January 2012,"With the 2011 benchmark, noncovered employment was newly included in 13 industries. Due to this inclusion, employment in the amount of 95,000 was added to the benchmark nonfarm level. For more information, see the Changes to noncovered employment section in the 2011 CES Benchmark Article."
15,,"With the release of January 2012 data on February 3, 2012, CES updated the national nonfarm payroll series to NAICS 2012 from NAICS 2007. Further information about the NAICS 2012 conversion for both the AE and non-AE series is available at www.bls.gov/ces/naics/naics-2012.htm."
16,January 2014,"With the 2013 benchmark, BLS reconstructed several national employment series. Each first quarter, the Quarterly Census of Employment and Wages (QCEW) program, whose data account for approximately 97 percent of the CES universe scope (see the Frame and sample selection section of Design in the CES Handbook of Methods), incorporates updated industry assignments. In 2013, these updates included two substantial groups of nonrandom, noneconomic code changes, one to funds, trusts, and other financial vehicles (NAICS 525), and the other, a reclassification of approximately 466,000 in employment from private households (NAICS 814), which is out of scope for CES, to services for the elderly and persons with disabilities (NAICS 62412), which is in scope. These changes also had an impact, beyond what would be considered typical for a given benchmark year, on corresponding CES series. For more information about the changes to these industries, see the QCEW First Quarter 2013 News Release or the Special notice regarding reconstructed data section in the 2013 CES Benchmark Article."
17,January 2016,"With the 2015 benchmark, BLS reconstructed the national employment series services for the elderly and persons with disabilities (65-624120) back to January 2000. BLS previously reconstructed this series with the 2013 benchmark; however, between the 2013 and 2015 benchmark, a better source of information for the employment within NAICS 62412 for the state of California was found. The inclusion of the reconstructed series resulted in total nonfarm and total private employment that was 27,000 less than the originally published March 2015 estimate level. For more information, see the Reconstructions section in the 2015 CES Benchmark Article."
18,January 2018,"With the 2017 benchmark, BLS reconstructed the national employment series security guards and patrols and armored car services (60-561613) back to October 2016 to correct a microdata error. The inclusion of the reconstructed series resulted in total nonfarm and total private employment that was 3,000 more than the originally published March 2017 estimate level. For more information, see the Reconstructions section in the 2017 CES Benchmark Article."
19,,"With the release of January 2018 data on February 2, 2018, CES updated the national nonfarm payroll series to NAICS 2017 from NAICS 2012. Further information about the NAICS 2017 conversion for both the AE and non-AE series is available at www.bls.gov/ces/naics/naics-2017.htm."
20,January 2019,"With the 2018 benchmark, CES reconstructed about 336,000 in employment moving out of 41-425120 and into many series within the wholesale trade, retail trade, transportation and warehousing, and professional and business services sectors. CES also reconstructed about 17,000 in employment affecting 3 months of data from January 2018-March 2018 for series 65-624120 and 90-922999 to reflect a change in ownership. For more details, see the 2018 Benchmark Article."
21,January 2020,"With the 2019 benchmark, BLS reconstructed some national employment series in transportation to correct an error in rail transportation (43-482000), which had resulted in 16,000 in employment being double counted. The reconstruction removed the doubled-counted employment and affected aggregates of rail transportation, up to and including total nonfarm, back to January 1990. Additionally, a recoding of employers in the first quarter of 2019 in the QCEW resulted in changes to industries in financial activities. For more information, see the Reconstructions section in the 2019 CES Benchmark Article."
22,January 2023,"With the 2022 benchmark, BLS reconstructed several national employment series. A recoding effort in the QCEW resulted in about 68,000 in employment in electronic shopping and mail-order houses (42-454100) being moved into corporate, subsidiary, and regional managing offices (60-551114). Affected series were reconstructed for their entire history going back to January 1990. Additionally, the CES program found that some QCEW employment microdata submitted for services for the elderly and persons with disabilities (NAICS 624120) was erroneously reported for the first quarter of 2022. CES imputed the March 2022 level for this industry, and the new level was approximately 83,000 greater than the originally reported QCEW level. Additionally, the following industries were new due to the update to NAICS 2022, and therefore only have data for January 2023 (no data are available in the spreadsheets between March 2003 and December 2022):  42-449000, 42-456000, 42-457000, 42-458000, 42-459000, and 42-45500. For more information, see the Reconstructions and Benchmark level adjustment to services for the elderly and persons with disabilities sections in the 2022 CES Benchmark Article."
23,,"With the release of January 2023 data on February 3, 2023, CES updated the national nonfarm payroll series to NAICS 2022 from NAICS 2017. Further information about the NAICS 2022 conversion for both the AE and non-AE series is available at www.bls.gov/ces/naics/naics-2022.htm."
24,January 2025,"With the 2024 benchmark, CES reconstructed several national employment series. A recoding of establishments in the QCEW resulted in about 50,000 in employment in computer and peripheral equipment manufacturing (31-334100) being moved into corporate, subsidiary, and regional managing offices (60-551114). Affected series were reconstructed for their history going back to January 2005. For more information, see the Reconstructions section in the 2024 CES Benchmark Article."
25,January 2026,"With the 2025 benchmark, CES did not include approximately 83,200 in QCEW employment in the benchmark revision amount for taxi and limousine services (43-485300). For more information, see the Benchmark level adjustments to taxi and limousine services section in the 2025 CES Benchmark Article. CES also removed some employment from the monetary authorities-central bank (55-521000) industry and put it in commercial banking (55-522110). The change involved ratio adjusting the industries back to 1990 and re-estimating CES series forward from new March 2024 benchmark amounts. For more information, see the Reconstructions section in the 2025 CES Benchmark Article."
26,,"Due to the 2025 lapse in appropriations, no estimates for October first preliminary, September second preliminary, or historical estimates were released in November 2025. Instead, initial estimates for October and final estimates for September were released with November first preliminary estimates. As a result, the Data, Revisions, OTM data, and OTM Revisions that involve October 2025 first preliminary release are unavailable as noted in the tables."
