reference_month,release_date,release_url
1995-01,1995-02-03,https://www.bls.gov/news.release/archives/empsit_02031995.pdf
1995-05,1995-06-02,https://www.bls.gov/news.release/archives/empsit_06021995.pdf
1998-11,1998-12-04,https://www.bls.gov/news.release/history/empsit_12041998.txt
1999-05,1999-06-04,https://www.bls.gov/news.release/history/empsit_06041999.txt
1999-06,1999-07-02,https://www.bls.gov/news.release/history/empsit_07021999.txt
1999-07,1999-08-06,https://www.bls.gov/news.release/history/empsit_08061999.txt
1999-08,1999-09-03,https://www.bls.gov/news.release/history/empsit_09031999.txt
1999-09,1999-10-08,https://www.bls.gov/news.release/history/empsit_10081999.txt
1999-10,1999-11-05,https://www.bls.gov/news.release/history/empsit_11051999.txt
1999-11,1999-12-03,https://www.bls.gov/news.release/history/empsit_12031999.txt
1999-12,2000-01-19,https://www.bls.gov/news.release/history/empsit_01192000.txt
2000-01,2000-02-04,https://www.bls.gov/news.release/history/empsit_02042000.txt
2000-02,2000-03-03,https://www.bls.gov/news.release/history/empsit_03032000.txt
2000-03,2000-04-07,https://www.bls.gov/news.release/history/empsit_04072000.txt
2000-04,2000-05-05,https://www.bls.gov/news.release/history/empsit_05052000.txt
2000-05,2000-06-02,https://www.bls.gov/news.release/history/empsit_06022000.txt
2000-06,2000-07-07,https://www.bls.gov/news.release/history/empsit_07072000.txt
2000-07,2000-08-04,https://www.bls.gov/news.release/history/empsit_08042000.txt
2000-08,2000-09-01,https://www.bls.gov/news.release/history/empsit_09012000.txt
2000-09,2000-10-06,https://www.bls.gov/news.release/history/empsit_10062000.txt
2000-10,2000-11-03,https://www.bls.gov/news.release/history/empsit_11032000.txt
2000-11,2000-12-08,https://www.bls.gov/news.release/history/empsit_12082000.txt
2000-12,2001-01-05,https://www.bls.gov/news.release/history/empsit_01052001.txt
2001-01,2001-02-02,https://www.bls.gov/news.release/history/empsit_02022001.txt
2001-02,2001-03-09,https://www.bls.gov/news.release/history/empsit_03092001.txt
2001-03,2001-04-06,https://www.bls.gov/news.release/history/empsit_04062001.txt
2001-04,2001-05-04,https://www.bls.gov/news.release/history/empsit_05042001.txt
2001-05,2001-06-01,https://www.bls.gov/news.release/history/empsit_06012001.txt
2001-06,2001-07-06,https://www.bls.gov/news.release/history/empsit_07062001.txt
2001-07,2001-08-03,https://www.bls.gov/news.release/history/empsit_08032001.txt
2001-08,2001-09-07,https://www.bls.gov/news.release/history/empsit_09072001.txt
2001-09,2001-10-05,https://www.bls.gov/news.release/history/empsit_10052001.txt
2001-10,2001-11-02,https://www.bls.gov/news.release/history/empsit_11022001.txt
2001-11,2001-12-07,https://www.bls.gov/news.release/history/empsit_12072001.txt
2001-12,2002-01-04,https://www.bls.gov/news.release/history/empsit_01042002.txt
2002-01,2002-02-01,https://www.bls.gov/news.release/history/empsit_02012002.txt
2002-02,2002-03-08,https://www.bls.gov/news.release/history/empsit_03082002.txt
2002-03,2002-04-05,https://www.bls.gov/news.release/history/empsit_04052002.txt
2002-04,2002-05-03,https://www.bls.gov/news.release/history/empsit_05032002.txt
2002-05,2002-06-07,https://www.bls.gov/news.release/history/empsit_06072002.txt
2002-06,2002-07-05,https://www.bls.gov/news.release/history/empsit_07052002.txt
2002-07,2002-08-02,https://www.bls.gov/news.release/history/empsit_08022002.txt
2002-08,2002-09-06,https://www.bls.gov/news.release/history/empsit_09062002.txt
2002-09,2002-10-04,https://www.bls.gov/news.release/history/empsit_10042002.txt
2002-10,2002-11-01,https://www.bls.gov/news.release/history/empsit_11012002.txt
2002-11,2002-12-06,https://www.bls.gov/news.release/history/empsit_12062002.txt
2002-12,2003-01-10,https://www.bls.gov/news.release/history/empsit_01102003.txt
2003-01,2003-02-07,https://www.bls.gov/news.release/history/empsit_02072003.txt
2003-02,2003-03-07,https://www.bls.gov/news.release/history/empsit_03072003.txt
2003-03,2003-04-04,https://www.bls.gov/news.release/history/empsit_04042003.txt
2003-04,2003-05-02,https://www.bls.gov/news.release/history/empsit_05022003.txt
2003-05,2003-06-06,https://www.bls.gov/news.release/history/empsit_06062003.txt
2003-06,2003-07-03,https://www.bls.gov/news.release/history/empsit_07032003.txt
2003-07,2003-08-01,https://www.bls.gov/news.release/history/empsit_08012003.txt
2003-08,2003-09-05,https://www.bls.gov/news.release/history/empsit_09052003.txt
2003-09,2003-10-03,https://www.bls.gov/news.release/history/empsit_10032003.txt
2003-10,2003-11-07,https://www.bls.gov/news.release/history/empsit_11072003.txt
2003-11,2003-12-05,https://www.bls.gov/news.release/history/empsit_12052003.txt
2003-12,2004-01-09,https://www.bls.gov/news.release/history/empsit_01092004.txt
2004-01,2004-02-06,https://www.bls.gov/news.release/history/empsit_02062004.txt
2004-02,2004-03-05,https://www.bls.gov/news.release/history/empsit_03052004.txt
2004-03,2004-04-02,https://www.bls.gov/news.release/history/empsit_04022004.txt
2004-04,2004-05-07,https://www.bls.gov/news.release/history/empsit_05072004.txt
